																																	
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
Weakness	Weakness	2	 	x	 	 	8	6	6	10	0	2	2	4	3	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Weakness}

Reduces the selected enemy unit's attack strength.
"	"{Basic Weakness}

Reduces the selected enemy unit's attack strength.
"	"{Advanced Weakness}

Reduces the selected enemy unit's attack strength.

Effect is twice that of Basic Weakness.
"	"{Expert Weakness}

Reduces the attack strength of all enemy units.

Effect is twice that of Basic Weakness.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Stone Skin	Stone Skin	1	x	 	 	 	8	6	6	10	0	2	2	4	3	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Stone Skin}

Increases the selected unit's defense strength.
"	"{Basic Stone Skin}

Increases the selected unit's defense strength.
"	"{Advanced Stone Skin}

Increases the selected unit's defense strength.

Effect is twice that of Basic Stone Skin.
"	"{Expert Stone Skin}

Increases the defense strength of all friendly units.

Effect is twice that of Basic Stone Skin.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Disrupting Ray	Disrupting Ray	4	 	 	 	x	12	10	10	10	0	3	3	4	4	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Basic Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Advanced Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Basic Disrupting Ray.
"	"{Expert Disrupting Ray}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Advanced Disrupting Ray.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prayer	Prayer	5	 	x	 	 	15	12	12	24	0	2	3	4	3	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Basic Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Advanced Prayer}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.

Effect is twice that of Basic Prayer.
"	"{Expert Prayer}

Bestows a bonus to the attack strength, defense strength and speed of all friendly units.

Effect is twice that of Basic Prayer.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mirth	Mirth	1	 	x	 	 	10	8	8	10	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Mirth}

Increases the selected unit's morale.
"	"{Basic Mirth}

Increases the selected unit's morale.
"	"{Advanced Mirth}

Increases the selected unit's morale.

Effect is twice that of Basic Mirth.
"	"{Expert Mirth}

Increases the morale of all friendly units.

Effect is twice that of Basic Mirth.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorrow	Sorrow	1	x	 	 	 	11	8	8	11	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Sorrow}

Reduces the morale of the selected enemy unit.
"	"{Basic Sorrow}

Reduces the morale of the selected enemy unit.
"	"{Advanced Sorrow}

Reduces the morale of the selected enemy unit.

Effect is twice that of Basic Sorrow.
"	"{Expert Sorrow}

Reduces the morale of all enemy units.

Effect is twice that of Basic Sorrow.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortune	Fortune	1	 	 	 	x	9	6	6	9	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Fortune}

Increases the selected unit's luck.
"	"{Basic Fortune}

Increases the selected unit's luck.
"	"{Advanced Fortune}

Increases the selected unit's luck.

Effect is twice that of Basic Fortune.
"	"{Expert Fortune}

Increases the luck of all friendly units.

Effect is twice that of Basic Fortune.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Misfortune	Misfortune	1	 	 	x	 	8	6	6	8	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Misfortune}

Reduces the luck of the selected enemy unit.
"	"{Basic Misfortune}

Reduces the luck of the selected enemy unit.

Spell Point cost is half that of Normal Misfortune.
"	"{Advanced Misfortune}

Reduces the luck of the selected enemy unit.

Effect is twice that of Basic Misfortune.
"	"{Expert Misfortune}

Reduces the luck of all enemy units.

Effect is twice that of Basic Misfortune.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Haste	Haste	3	 	 	 	x	9	7	7	14	0	2	2	3	2	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Haste}

Increases the speed of the selected unit.
"	"{Basic Haste}

Increases the speed of the selected unit.
"	"{Advanced Haste}

Increases the speed of the selected unit.

Effect is nearly twice that of Basic Haste.
"	"{Expert Haste}

Increases the speed of all friendly units.

Effect is nearly twice that of Basic Haste.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slow	Slow	3	x	 	 	 	9	7	7	14	0	80	75	70	85	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Slow}

Reduces the speed of the selected enemy unit.
"	"{Basic Slow}

Reduces the speed of the selected enemy unit.
"	"{Advanced Slow}

Reduces the speed of the selected enemy unit.

Effect is twice that of Basic Slow.
"	"{Expert Slow}

Reduces the speed of all enemy units.

Effect is twice that of Basic Slow.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slayer	Slayer	3	 	 	x	 	12	10	10	10	0	5	6	7	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Basic Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Advanced Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils and Angels.
"	"{Expert Slayer}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils, Angels and Titans.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenzy	Frenzy	2	 	 	x	 	12	12	12	12	0	50	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Basic Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Advanced Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is 50% greater than Basic Frenzy.
"	"{Expert Frenzy}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is double Basic Frenzy.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titan's Lightning Bolt	Titan's Bolt	5	 	 	 	x	0	0	0	0	0	500	600	800	1000	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Titan's Lightning Bolt}

Item granted spell costs no spell points for the spellcaster."	"{Titan's Lightning Bolt}

Item granted spell costs no spell points for the spellcaster."	"{Titan's Lightning Bolt}

Item granted spell costs no spell points for the spellcaster."	"{Titan's Lightning Bolt}

Item granted spell costs no spell points for the spellcaster."	
Counterstrike	Counterstrike	2	 	 	 	x	11	10	10	16	0	1	1	2	1	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Counterstrike}

The selected unit will retaliate against one additional attack each round.
"	"{Basic Counterstrike}

The selected unit will retaliate against one additional attack each round.
"	"{Advanced Counterstrike}

The selected unit will retaliate against two additional attacks each round.
"	"{Expert Counterstrike}

All friendly units will retaliate against two additional attacks each round.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Berserk	5	 	 	x	 	30	30	35	40	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Basic Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Advanced Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is six hexes greater than Basic Berserk.
"	"{Expert Berserk}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is eighteen hexes greater than Basic Berserk.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotize	Hypnotize	5	 	 	 	x	25	30	35	40	150	250	500	1000	1500	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hypnotize}

Puts an enemy unit temporarily under your control.
"	"{Basic Hypnotize}

Puts an enemy unit temporarily under your control.
"	"{Advanced Hypnotize}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 10 hit points of enemies over Basic Hypnotize.
"	"{Expert Hypnotize}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 40 hit points of enemies over Basic Hypnotize.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Forgetfulness	Forgetfulness	3	 	x	 	 	12	10	10	20	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Forgetfulness}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Basic Forgetfulness}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Advanced Forgetfulness}

Causes the selected enemy unit to forget to use its ranged attack in combat.
"	"{Expert Forgetfulness}

Causes all enemy troops to forget to use their ranged attack in combat.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Blind	Blind	3	 	 	x	 	20	16	16	16	0	75	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Blind}

Blinds a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Basic Blind}

Blinds a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Advanced Blind}

Blinds a creature so that it cannot move and causes it to counterattack at one-quarter of its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Expert Blind}

Blinds a creature so that it cannot move or counterattack.  Blindness persists until the unit is attacked or dispelled.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Teleport	3	 	x	 	 	14	13	12	12	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield.
"	"{Basic Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield.

Troop cannot teleport over walls or moats.
"	"{Advanced Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield.

Troop cannot teleport over walls.
"	"{Expert Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield.
"	 COMBAT_SPELL|CREATURE_TARGET
Remove Obstacle	Remove Obstacle	1	 	 	x	 	8	7	6	3	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Basic Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Advanced Remove Obstacle}

Removes any normal obstacle (trees, rocks, etc.) or Fire Wall of the caster's choice from the battlefield.
"	"{Expert Remove Obstacle}

Removes any normal or magical obstacle of the caster's choice from the battlefield.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Clone	4	 	x	 	 	15	15	15	15	0	4	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-5.
"	"{Basic Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-5.
"	"{Advanced Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of levels 1-6.
"	"{Expert Clone}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Clones creatures of any level.
"	 COMBAT_SPELL|CREATURE_TARGET
Fire Elemental	Fire Elemental	4	 	 	x	 	15	16	18	20	0	1	1	2	3	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Summon Fire Elemental}

Allows you to summon fire elementals.
"	"{Basic Summon Fire Elemental}

Allows you to summon fire elementals.
"	"{Advanced Summon Fire Elemental}

Allows you to summon fire elementals.

Summons approximately one-and-a-half times the number of units as Basic Summon Fire Elemental.
"	"{Expert Summon Fire Elemental}

Allows you to summon fire elementals.

Summons approximately twice the number of units as Basic Summon Fire Elemental.
"	 COMBAT_SPELL
Earth Elemental	Earth Elemental	5	x	 	 	 	20	22	24	25	0	1	1	2	3	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Summon Earth Elemental}

Allows you to summon earth elementals.
"	"{Basic Summon Earth Elemental}

Allows you to summon earth elementals.
"	"{Advanced Summon Earth Elemental}

Allows you to summon earth elementals.

Summons approximately one-and-a-half times the number of units as Basic Summon Creature.
"	"{Expert Summon Earth Elemental}

Allows you to summon earth elementals.

Summons approximately twice the number of units as Basic Summon Creature.
"	 COMBAT_SPELL
Water Elemental	Water Elemental	3	 	x	 	 	14	15	16	18	0	1	1	2	3	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Summon Water Elemental}

Allows you to summon water elementals.
"	"{Basic Summon Water Elemental}

Allows you to summon water elementals.
"	"{Advanced Summon Water Elemental}

Allows you to summon water elementals.

Summons approximately one-and-a-half times the number of units as Basic Summon Water Elemental.
"	"{Expert Summon Water Elemental}

Allows you to summon water elementals.

Summons approximately twice the number of units as Basic Summon Water Elemental.
"	 COMBAT_SPELL
Air Elemental	Air Elemental	2	 	 	 	x	12	13	15	17	0	1	1	2	3	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Summon Air Elemental}

Allows you to summon air elementals.
"	"{Basic Summon Air Elemental}

Allows you to summon air elementals.
"	"{Advanced Summon Air Elemental}

Allows you to summon air elementals.

Summons approximately one-and-a-half times the number of units as Basic Summon Air Elemental.
"	"{Expert Summon Air Elemental}

Allows you to summon air elementals.

Summons approximately twice the number of units as Basic Summon Air Elemental.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Stone Gaze	Stone Gaze	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid breath	Acid Breath	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
																																	
WoG Spells																																	
																																	
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	81
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	82
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	83
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	84
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	85
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	86
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	87
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	88
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	89
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	90
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	91
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	92
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	93
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	94
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	95
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	96
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	97
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	98
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	99
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	100
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	101
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	102
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	103
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	104
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	105
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	106
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	107
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	108
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	109
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	110
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	111
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	112
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	113
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	114
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	115
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	116
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	117
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	118
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	119
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	120
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	121
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	122
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	123
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	124
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	125
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	126
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	127
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	128
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	129
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	130
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	131
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	132
